,userid,geometry_x,geometry_y
56,3B466BAA8F511D02387798DDD8700735,POINT (-1.52142 52.41689),POINT (-1.50821 52.43997)
57,32198F8ABC2C74656D556F1ACFFB6556,POINT (-1.46354 52.45324),POINT (-1.47965 52.45338)
58,B8BF468E5DE216BD583A40AEC98D59C6,POINT (-1.48498 52.43848),POINT (-1.49239 52.39981)
59,4BA4A89EFBB04637AE735E83D15C52E9,POINT (-1.59784 52.41831),POINT (-1.55881 52.40703)
60,725BA66DEDF855B42E380CFED14DD39A,POINT (-1.50391 52.41751),POINT (-1.50341 52.41214)
61,ED799FAD638F3DE7B6810F52B56B3BFA,POINT (-1.44335 52.40703),POINT (-1.56079 52.38072)
62,D68DBA9BB32ED20CE2075523CB78C10E,POINT (-1.52915 52.4358),POINT (-1.47137 52.39265)
63,BD6146208BB12B448DB0469223141D6F,POINT (-1.51548 52.40037),POINT (-1.50564 52.40663)
64,39C1037EAFE9F81EA0C39DF0D78BEF18,POINT (-1.46626 52.38977),POINT (-1.46214 52.38026)
65,3021896576461C51AD959CDA245347B6,POINT (-1.51241 52.44045),POINT (-1.53014 52.39916)
66,489298C3EBDA0260309BD2FD6F1E3769,POINT (-1.51408 52.44911),POINT (-1.51411 52.44914)
67,DBB52015D33E8DB114E5B3DD62F14871,POINT (-1.50998 52.44593),POINT (-1.4361 52.422)
68,77D87D5AC3532335D84E518C0BC33120,POINT (-1.58598 52.41585),POINT (-1.5912 52.41283)
69,B1655DD5E09F35043D1B45B6E3CD0372,POINT (-1.43947 52.40313),POINT (-1.4428 52.40391)
70,6349BF9359324656B4E16411FF19D43F,POINT (-1.47804 52.43845),POINT (-1.4825 52.4393)
71,F5CDB026C2F98A9212D05A40FCF33F11,POINT (-1.50745 52.38562),POINT (-1.50798 52.41589)
72,7207D2CB4F58636D32248CB646B9D730,POINT (-1.46575 52.43299),POINT (-1.49136 52.44377)
73,DB4DD88FE46D789518553DC3553991B5,POINT (-1.53188 52.38306),POINT (-1.52646 52.3797)
74,0B3D0E5E281835E329FEE9C272CD739F,POINT (-1.53161 52.40034),POINT (-1.46266 52.40631)
75,5C13FAD977C15E0680C3C28B5F7444D3,POINT (-1.56174 52.37766),POINT (-1.56289 52.38212)
76,110B8FD9D3C50E13D6E09890D6B67B6A,POINT (-1.46998 52.3837),POINT (-1.45245 52.43605)
77,4831F7E7F4411BFAD411E5CB96BBB030,POINT (-1.51136 52.39075),POINT (-1.5427 52.40633)
78,8584D504B0A301600740598F8087CBC8,POINT (-1.51348 52.39717),POINT (-1.55233 52.39801)
79,27C761B7271A1C4F6126C1E50F0315B8,POINT (-1.44804 52.38634),POINT (-1.52183 52.44806)
80,C8C35553BAD56FEFBFAF1F4BC95F4D8E,POINT (-1.51547 52.42857),POINT (-1.54376 52.42991)
81,3A527BACF52F94285992CF362118749A,POINT (-1.44085 52.40686),POINT (-1.44473 52.39814)
82,0D20E12FA62A08A3B2D8E56523C51B39,POINT (-1.56493 52.41825),POINT (-1.58984 52.40391)
83,5A7181D7F21DFF128E192D0C8AD4C209,POINT (-1.56268 52.40154),POINT (-1.55813 52.39901)
84,DD7DAA4A86F9F4C2E6482DA10B84E0C2,POINT (-1.47673 52.43234),POINT (-1.43712 52.42069)
85,2C2211245C2A7A9DBCB7EA7BDA37AD5D,POINT (-1.45459 52.41395),POINT (-1.46067 52.41655)
86,00F697953C02AB47BF40CE80F6C94035,POINT (-1.47214 52.40386),POINT (-1.55963 52.4067)
87,E0CDD3169C40BF5BFBD909357BF458C9,POINT (-1.45456 52.41196),POINT (-1.59086 52.39668)
88,7E50A4F7B43AE30968D9BBBFD5637612,POINT (-1.51321 52.40255),POINT (-1.48758 52.43409)
89,C3889218BF9B758D3044CEB0E03182AD,POINT (-1.52066 52.44141),POINT (-1.52613 52.44686)
90,22421E7A549AB16FFC52384CB348C261,POINT (-1.52343 52.4035),POINT (-1.52137 52.40595)
91,DADE7C867A73F1BC12F9E908A0FBE362,POINT (-1.4782 52.43109),POINT (-1.47003 52.42405)
92,754557CBAD773303F5FF13795ACC703C,POINT (-1.50129 52.39317),POINT (-1.53743 52.37915)
93,3621B3D46459F00137888A9B593FC681,POINT (-1.49911 52.43069),POINT (-1.50062 52.40614)
94,EDAD753BB3EB236512C0493D768D5F29,POINT (-1.49651 52.43447),POINT (-1.48288 52.42897)
95,91D0E9C5F42E96F7C96B36317A92F4A8,POINT (-1.52994 52.40404),POINT (-1.46248 52.38217)
96,55D41E99AB8A7D86984B8625CF124105,POINT (-1.60302 52.40645),POINT (-1.58273 52.40251)
97,9A8F216539B4187BEEC819BD5F55858C,POINT (-1.55005 52.41424),POINT (-1.51776 52.40737)
98,F95DF86652D8CD6A86EF27D6AE2941BD,POINT (-1.53521 52.42146),POINT (-1.53358 52.42094)
99,5E0A9CE38A783060D691C00205AF6A8C,POINT (-1.46017 52.39409),POINT (-1.47258 52.40994)
100,A47BF493E604780F92F72091C32CEB6D,POINT (-1.44677 52.43436),POINT (-1.47253 52.42191)
101,0852F1003F8DDAB77944B6AE4915D09F,POINT (-1.51721 52.43631),POINT (-1.49005 52.43019)
102,1C56C8716FE371CBDE5DA7E19317A208,POINT (-1.53844 52.43223),POINT (-1.49615 52.38941)
103,60E83CB63C2961FC639B839FA9E08969,POINT (-1.52622 52.38487),POINT (-1.52638 52.37988)
104,147FB3D336133731ACD7B0F155B13A3F,POINT (-1.53421 52.37955),POINT (-1.56564 52.40716)
105,2FCF563264AC9BB368A7E027B650E419,POINT (-1.53483 52.41531),POINT (-1.53934 52.4166)
106,B0722F2AD1973A04FD1DBB0A164CA280,POINT (-1.49376 52.42932),POINT (-1.51852 52.40737)
107,40C34D635A75E37AE1795933C2A4B136,POINT (-1.53581 52.41868),POINT (-1.54355 52.42921)
108,B32DA7FFFB159D4AC59A2EC3B3DCFF19,POINT (-1.60186 52.41219),POINT (-1.51787 52.40773)
109,E824EC8B6F694A1324B92E16A5BF8A99,POINT (-1.45097 52.42366),POINT (-1.43349 52.39829)
110,84FF27D0BF33AD027E8931867C847A01,POINT (-1.44187 52.40375),POINT (-1.45327 52.42123)
111,B044FA76FFBAE252B80784EF881A0F3B,POINT (-1.46718 52.41994),POINT (-1.4563 52.42015)
112,D403294E2CDFD001FBFE8B2D56A74523,POINT (-1.47751 52.4387),POINT (-1.50722 52.41671)
113,FBEF02AD26541432482E0C788A955EE5,POINT (-1.51855 52.42683),POINT (-1.49202 52.43)
114,FBDAF41BCC29D06283AF7BA9398C2D2A,POINT (-1.45565 52.41254),POINT (-1.44987 52.41584)
115,8D14073834CAA6CC8B6D28A46D84ED6D,POINT (-1.44494 52.41428),POINT (-1.45974 52.39525)
116,D479D921D5E731D0FD20F59700030FF2,POINT (-1.48899 52.45422),POINT (-1.51194 52.41993)
117,AC7C18F9C427C091B27A79ED33133F6C,POINT (-1.47757 52.42848),POINT (-1.50902 52.40782)
118,EC8D4548ADCFB02CF1D95E25636FA5F8,POINT (-1.52654 52.43003),POINT (-1.59071 52.39673)
119,8B47B918FC3B7574DDDF158582898C91,POINT (-1.52621 52.44605),POINT (-1.52275 52.45036)
120,435293D0B2735929AAC91046176796BA,POINT (-1.43474 52.403),POINT (-1.45145 52.41306)
121,FAC3DF344BFE48DA2C14E10AF26CAE13,POINT (-1.45695 52.41488),POINT (-1.45187 52.41372)
122,87FF891E99BEC16A4A3D304771443865,POINT (-1.50792 52.41568),POINT (-1.55459 52.3998)
123,9ABF057D2398487B2B93935AC79C2F99,POINT (-1.46149 52.43119),POINT (-1.51336 52.42243)
124,68A005B43781835A4E96B770A5F89B8E,POINT (-1.48065 52.44434),POINT (-1.49186 52.44028)
125,8A5475F5920EF2B721914269FA588403,POINT (-1.50792 52.44769),POINT (-1.46968 52.41158)
126,974799F7C6AF5C353E852ECC6A0F3DE0,POINT (-1.51884 52.41836),POINT (-1.434 52.43237)
127,739CF8DB2EFD8FEB81361E52E35BF658,POINT (-1.51802 52.41674),POINT (-1.54755 52.4207)
128,239D807886C081FF3541A5ECC17264AB,POINT (-1.43731 52.39884),POINT (-1.43658 52.42241)
129,E50B841AF7FD4B53D27C8B917897EE02,POINT (-1.56973 52.41276),POINT (-1.56974 52.41488)
130,BBFCF6997986EDD323120AD0E966833B,POINT (-1.45309 52.43698),POINT (-1.46407 52.38602)
131,3C6DD732FD57EA673A6E427E515F9FAD,POINT (-1.48214 52.42088),POINT (-1.46503 52.41796)
132,47472D6AF788D3D2E9728C8CA29519BB,POINT (-1.57287 52.40585),POINT (-1.45413 52.43529)
133,97AD3278EF5DDD610C347A3397F9EA01,POINT (-1.45758 52.38756),POINT (-1.55517 52.40185)
134,1ECECC499E8366458BD912246AF6D48C,POINT (-1.46343 52.38624),POINT (-1.51093 52.41027)
135,ACDD691BA7214D289387E9F07F3E1214,POINT (-1.51552 52.44261),POINT (-1.53511 52.44229)
136,F44EB0CC93E1349321C0D485AAE49AE6,POINT (-1.44498 52.41433),POINT (-1.50359 52.41456)
137,A484F78EA9EBD502F11FD977B78E156F,POINT (-1.49992 52.43103),POINT (-1.51791 52.40767)
138,549310A6480EF925FADB30DFFB6FDCA6,POINT (-1.46503 52.41796),POINT (-1.56191 52.43144)
139,750FC933E8330B3E8F00C3D032E251CD,POINT (-1.47921 52.43456),POINT (-1.46198 52.41983)
140,B24B2951CB6241F5E5C46ACF8B2B22CC,POINT (-1.5051 52.41524),POINT (-1.50115 52.41935)
141,A0F1D15B4A91F10DE1B1B5D403CBBDE5,POINT (-1.51428 52.44048),POINT (-1.50683 52.43782)
142,ED924414F822E5AC5450CB7B38B54BEC,POINT (-1.54644 52.397),POINT (-1.54798 52.3981)
143,D7EA01DB333301AB9D6C3A8BFDF59061,POINT (-1.46739 52.42231),POINT (-1.4473 52.43783)
144,1EC64A76EAF0DA82AC832120C967F960,POINT (-1.59656 52.39845),POINT (-1.50506 52.41449)
145,72525F96D938A7EB40A722A5E29265B6,POINT (-1.47462 52.41122),POINT (-1.5013 52.42459)
146,8AAF191F1D9EF6BE80CC84076021C0E0,POINT (-1.51945 52.41732),POINT (-1.54063 52.42816)
147,E314F39AADD33CE449598C0B4F599B84,POINT (-1.53816 52.42838),POINT (-1.44212 52.39641)
148,E0F29A6C7B98A4BD89967880DC6A2E8F,POINT (-1.50385 52.41957),POINT (-1.50385 52.41956)
149,DEDA910F5756DB6E22DA27F1B322E2E1,POINT (-1.49748 52.40372),POINT (-1.57632 52.42656)
150,CA9D5BFC5680F9933C379BF9AEE41F0A,POINT (-1.55974 52.43722),POINT (-1.5277 52.43338)
151,9C551C1AA3A8A4173C2F5AE4677CE3F4,POINT (-1.51496 52.41697),POINT (-1.56222 52.38159)
152,C60884C4DFB364DA11778C68C4023C9D,POINT (-1.50745 52.38561),POINT (-1.50743 52.3856)
153,D64034852E3497893BF2C840928B0002,POINT (-1.52008 52.44104),POINT (-1.52007 52.44104)
154,E4338A6C25F926E42B51A56442A25AD7,POINT (-1.46401 52.38368),POINT (-1.45435 52.38581)
155,EF48C79A433E434A3570CB63BCF22FEC,POINT (-1.48057 52.43184),POINT (-1.50847 52.42654)
156,D1DD63017D0153E7284F60B290C43BF8,POINT (-1.53189 52.38307),POINT (-1.43574 52.4225)
157,7130D5FACAC027250F3262F328E1D292,POINT (-1.58321 52.40765),POINT (-1.52402 52.39969)
158,9E722E3CC20F0886E9273AB68D880C9B,POINT (-1.45199 52.38584),POINT (-1.50136 52.42569)
159,D07A61F8FF5D5BCACBFC7D8B282887BB,POINT (-1.53962 52.42343),POINT (-1.49498 52.4479)
160,F54D9F832CD8412CFEEE6A5B93FE6DF4,POINT (-1.54637 52.42254),POINT (-1.50536 52.42979)
161,C56AB44863745180B5851E16F3AC54CC,POINT (-1.48026 52.38531),POINT (-1.48348 52.38602)
162,1E43C5FF0E88262A6364B3541D5FFBAA,POINT (-1.45606 52.42592),POINT (-1.45326 52.4189)
163,AB0227E391C67274F16742F8005CFD39,POINT (-1.52535 52.43017),POINT (-1.51697 52.42138)
164,D4AF671AE96CE75B86FF96440638D1B2,POINT (-1.51751 52.42511),POINT (-1.51673 52.43483)
165,B5E72E8DB2C01C3E476EF68954801B28,POINT (-1.45387 52.40591),POINT (-1.50097 52.40655)
