from_cell,to_cell,trips,distance,origin,business,eatery,education,entertainment,financial,historical,industrial,medical,other,public,religious,residential,shopping,transport
"(3, 5)","(4, 5)",26,1.0,262.0,7.788467680133899,24.518561593663783,51.10065850884895,358.3727139617971,5.653310598952266,3.3531636530298097,65.54782632779336,9.115160413284078,165.73800733192243,29.483995004107474,8.292569443301447,59.981570537320934,31.54939247084672,51.19604758098904
"(2, 2)","(5, 6)",1,5.0,230.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(4, 3)","(4, 3)",70,0.0,170.0,62.689429651651366,67.84606713009237,97.01055746025166,540.4582058511877,73.53216452977804,30.81880141310693,70.6733555386608,62.11272870087375,295.12375275696166,65.06819030748221,81.56835957935128,103.74595668282838,78.92149529788566,85.16142551824497
"(2, 2)","(2, 2)",130,0.0,230.0,7.2575234191939675,67.39801960584053,91.69458369480724,36.93946151612205,10.258089523309115,13.716888022291284,73.47911232106145,16.57153054414776,175.68504157685913,46.89462572841081,10.290965934689766,76.73165934458792,43.519313186597465,93.37474374131773
"(3, 2)","(5, 1)",2,2.23606797749979,140.0,0.822384844772593,5.3507593414880334,14.219561384276073,28.409075447253674,1.5890117527953098,0.9809023427608788,54.44869953621916,1.551179863514908,314.7010565887828,32.98362045540188,1.8134776649533186,9.361153310287937,21.43204238892444,16.263315699416506
"(3, 5)","(3, 5)",76,0.0,262.0,13.532536606277962,50.606285975811424,69.03624246262254,34.97180105143469,17.98066846527245,2.990778033219235,67.07879713048425,13.814319060075226,153.96539258391428,31.472798579392954,13.756207099539738,72.57430584108658,59.35479847805848,80.30636889480218
"(3, 2)","(3, 3)",33,1.0,140.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(4, 4)","(4, 4)",47,0.0,181.0,43.69051800424231,54.214193156527664,95.51736228653925,677.2917905069188,37.319899410144146,18.696467165352857,99.74303977570165,44.73355353857264,267.5372158377737,58.36329614957263,49.18216684139543,97.72057641256775,79.81660492787404,86.85779507485717
"(1, 0)","(1, 0)",44,0.0,36.0,0.004467618465261806,0.01918078997689845,0.02474060649053965,1.0426895738930368,0.010010290342972988,0.0010095672126116829,0.01074893741294439,0.009694322434659893,5.404564490328307,0.003919725384575063,0.003924149963340685,0.01762259679902336,0.013431793593545523,0.022682811478257053
"(1, 1)","(1, 1)",35,0.0,217.0,0.41011274029729045,6.475703929502106,8.297211945110934,15.32204967909042,1.3458455104527478,0.36217962121774333,3.6942568177084802,1.3144757308556034,58.49410769594428,1.3646262566422922,0.5341359544878939,5.99030295913674,4.555290966958029,7.6807589967217345
"(4, 5)","(2, 4)",5,2.23606797749979,204.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
"(4, 1)","(3, 3)",17,2.23606797749979,0.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(0, 2)","(2, 3)",1,2.23606797749979,95.0,29.83683840209104,127.37919276996091,128.79577918004406,45.06429451220101,39.89284985016664,34.60579647628564,66.00686954298524,60.49400933268412,315.3604941128842,100.93434737911552,42.200027609506044,109.4418879050165,125.48651478812224,86.81233053574445
"(3, 3)","(3, 3)",92,0.0,174.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(6, 3)","(6, 3)",34,0.0,8.0,15.85564094146371,13.874421701912677,20.035033845666874,11.004791465950403,22.13152044271518,1.9882679469266509,19.84459828150294,21.17218309823535,29.20577116237073,25.237577544944934,25.01579627344697,29.386302715606288,12.172607048771344,30.529732118413765
"(3, 1)","(2, 2)",15,1.4142135623730951,8.0,7.2575234191939675,67.39801960584053,91.69458369480724,36.93946151612205,10.258089523309115,13.716888022291284,73.47911232106145,16.57153054414776,175.68504157685913,46.89462572841081,10.290965934689766,76.73165934458792,43.519313186597465,93.37474374131773
"(5, 3)","(5, 3)",65,0.0,214.0,30.73859304763248,48.22924656713955,74.41062860703472,1512.1317841692342,37.086425619943775,14.737228667975625,26.585203695186614,39.25455850229579,98.59815328301049,43.46276618077918,39.95605718920207,98.79627487897064,48.0632175298209,63.326070262853996
"(1, 1)","(2, 2)",23,1.4142135623730951,217.0,7.2575234191939675,67.39801960584053,91.69458369480724,36.93946151612205,10.258089523309115,13.716888022291284,73.47911232106145,16.57153054414776,175.68504157685913,46.89462572841081,10.290965934689766,76.73165934458792,43.519313186597465,93.37474374131773
"(4, 5)","(4, 5)",58,0.0,204.0,7.788467680133899,24.518561593663783,51.10065850884895,358.3727139617971,5.653310598952266,3.3531636530298097,65.54782632779336,9.115160413284078,165.73800733192243,29.483995004107474,8.292569443301447,59.981570537320934,31.54939247084672,51.19604758098904
"(5, 6)","(5, 6)",51,0.0,9.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(4, 1)","(4, 1)",30,0.0,0.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(6, 5)","(2, 3)",1,4.47213595499958,162.0,29.83683840209104,127.37919276996091,128.79577918004406,45.06429451220101,39.89284985016664,34.60579647628564,66.00686954298524,60.49400933268412,315.3604941128842,100.93434737911552,42.200027609506044,109.4418879050165,125.48651478812224,86.81233053574445
"(5, 6)","(5, 5)",24,1.0,9.0,8.710798488677037,7.336391564730275,19.480120074405853,646.8380812799819,5.653881232676752,3.3374660332907586,20.618363927726133,4.006180358904859,91.41235413163805,23.04027102147727,7.584306706412268,23.536986307707473,18.757182851361414,15.77228065322948
"(3, 2)","(3, 2)",40,0.0,140.0,32.17836500575316,137.83318763755776,96.07698449447749,74.14132922000708,28.29468543628067,37.82515276082229,87.5109982233788,31.25820984447849,513.6735888338542,124.0933013886622,32.34366196448974,80.05857724520601,96.62107234805727,138.67563684300174
"(4, 4)","(5, 2)",3,2.23606797749979,181.0,8.330429321320159,50.29968141836936,94.24529975039272,700.0797142283405,13.903785958424985,29.22404539928727,77.79735749435521,14.310575589979559,243.54354176573725,62.695106095863345,15.159740945188625,87.64938022870852,57.15545015480621,93.38456914554978
"(1, 1)","(3, 2)",7,2.23606797749979,217.0,32.17836500575316,137.83318763755776,96.07698449447749,74.14132922000708,28.29468543628067,37.82515276082229,87.5109982233788,31.25820984447849,513.6735888338542,124.0933013886622,32.34366196448974,80.05857724520601,96.62107234805727,138.67563684300174
"(2, 4)","(2, 4)",38,0.0,220.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
"(5, 2)","(3, 3)",8,2.23606797749979,35.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(4, 2)","(3, 3)",24,1.4142135623730951,142.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(3, 2)","(4, 1)",6,1.4142135623730951,140.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(2, 3)","(3, 3)",36,1.0,159.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(2, 4)","(5, 6)",2,3.605551275463989,220.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
