from_cell,to_cell,trips,distance,origin,business,eatery,education,leisure,financial,historical,industrial,medical,other,public,religious,residential,shopping,transport
"(4, 4)","(4, 2)",1,2.0,123.0,54.37790456456605,3.1339954643774153,50.932269291401305,49.80529257131526,30.823885745839252,47.82874954726389,52.863787654222776,28.59573867318898,46.63158333718219,32.45616819480111,3.281262784287441,56.55861672556458,22.58374323934197,64.31483405887366
"(6, 2)","(1, 4)",2,5.385164807134504,0.0,1.316446669147642,0.3856670844021632,2.4020459423814766,12.72624748871135,3.8419617841275864,5.15044377215266,1.2017980696597992,0.8669262046337358,2.4132513199918404,2.13459345495998,0.5985950214718736,3.6568219488642977,2.4361630404237435,5.328245282946914
"(5, 5)","(4, 5)",3,1.0,75.0,108.04968376247618,8.15418140511863,135.22225103208615,114.24107752924769,141.18983626037857,119.0792416565078,242.40737121915905,177.64814942800496,98.98621570925688,90.92166700211594,11.963690988936005,172.8215546621472,107.81132970190166,156.39322071570516
"(6, 1)","(7, 4)",1,3.1622776601683795,0.0,0.010974066786306925,0.0011110860575598298,0.026971641398340702,0.011255833365905916,1.777073444321068e-12,0.009391759482512346,0.011501593126807153,0.02208687508318692,0.013332497752322092,0.007999206577071575,0.0019322021763550094,0.01799168002848074,0.012131836597027304,0.015419581773508441
"(7, 2)","(5, 2)",2,2.0,0.0,8.95798919062937,0.4825842693911562,7.25490120599553,9.224039927878858,4.591741438048259,9.316552746159388,8.469876625493306,4.43814076155784,8.588622389348293,4.2880140510160905,0.5944766870735283,9.125141726649835,3.1325464658743596,9.79782049853547
"(5, 2)","(3, 2)",2,2.0,9.0,74.71359961549373,5.424473426269259,96.56469657019308,84.53662892270196,48.31504000203282,64.33132055085288,93.18525070778789,51.80541243803996,85.03235409863588,93.6491576925216,4.010044319775014,88.0968466010804,41.1460591655364,116.33105477269214
"(1, 2)","(2, 2)",2,1.0,17.0,16.993961470732494,1.3715666684789725,24.992387470144173,22.513281047316056,11.338460276807785,13.785182082493419,19.751529489079658,10.895313251264792,26.376408257023943,37.679133893101884,1.0297666049222085,18.772518249944945,8.81821760615341,26.149662894751977
"(4, 3)","(3, 3)",1,1.0,104.0,195.50027458794554,30.51701592492654,231.3911976249752,151.85910348346917,183.88906990661692,132.40970578265984,86.26782772037434,155.36706774076166,228.8819773747422,275.39014450785544,26.643776998221178,191.2879711860148,110.27794598716056,198.97126673160167
"(3, 4)","(1, 4)",3,2.0,65.0,1.316446669147642,0.3856670844021632,2.4020459423814766,12.72624748871135,3.8419617841275864,5.15044377215266,1.2017980696597992,0.8669262046337358,2.4132513199918404,2.13459345495998,0.5985950214718736,3.6568219488642977,2.4361630404237435,5.328245282946914
"(5, 6)","(5, 4)",2,2.0,54.0,48.48827354720605,5.653593388375378,58.499401066708145,39.774057114338255,38.738188564906984,37.112260226882135,36.58236557920779,72.70228563120149,47.59123909881049,40.78388996505062,8.121511668647045,51.76262982752973,79.7656735622332,52.03889505087984
"(4, 1)","(5, 5)",2,4.123105625617661,6.0,16.446128298791947,1.4639251616332463,27.163801367097992,23.36037660028574,25.00391401021577,23.007579243651495,40.19667267923247,33.238783257447125,21.668844009642665,15.718381604955667,2.542847148055723,31.225711096864526,18.82241664004362,31.214847351639655
"(1, 2)","(3, 2)",1,2.0,17.0,74.71359961549373,5.424473426269259,96.56469657019308,84.53662892270196,48.31504000203282,64.33132055085288,93.18525070778789,51.80541243803996,85.03235409863588,93.6491576925216,4.010044319775014,88.0968466010804,41.1460591655364,116.33105477269214
"(5, 4)","(6, 1)",1,3.1622776601683795,90.0,0.017618177781891616,0.00018255992813900345,0.013011397356376372,0.22868372103251114,0.014381934627670413,0.1426687783435936,0.13502390965465227,0.009498251014672018,0.10940604111576022,0.07082718605204982,0.00027781524467117264,0.06984022289520601,0.008770911306348318,0.0730661989812129
"(3, 1)","(3, 4)",1,3.0,50.0,389.1025234277569,43.67984133826393,294.19555657303414,458.474825054336,433.18716638321433,482.1752582160346,149.22320235285648,307.76457826824344,416.7951692941318,396.0103095434674,45.61299231527612,240.57013599752045,473.9755311089889,306.6981918656148
"(5, 2)","(3, 1)",2,2.23606797749979,9.0,25.078126674351427,0.15685853055847687,33.73426550704554,32.88230849913279,12.649218467949058,23.823778529930806,42.897030512521056,16.158829231129072,29.70968890862305,29.8237867256224,0.04317325102911871,32.05145472634843,13.648735337179394,45.593425148961835
"(1, 2)","(2, 4)",1,2.23606797749979,17.0,70.56030710831497,9.494023959816857,59.36056831709318,143.3391279244708,96.36506448512544,108.94778245751631,28.508487610260907,53.55338632935437,81.71624098124664,76.95189249352762,10.01950842862598,55.97676047937298,91.40673737623,75.80170746738571
"(5, 4)","(5, 2)",5,2.0,90.0,8.95798919062937,0.4825842693911562,7.25490120599553,9.224039927878858,4.591741438048259,9.316552746159388,8.469876625493306,4.43814076155784,8.588622389348293,4.2880140510160905,0.5944766870735283,9.125141726649835,3.1325464658743596,9.79782049853547
"(3, 4)","(3, 5)",7,1.0,65.0,173.37735300798153,10.40775510777436,158.09393269975172,140.98950893727817,126.70869048436762,147.02577426029103,342.33072559908913,151.91124668556859,124.20244802291029,127.74181305308903,13.376568767404832,198.33061288102323,135.7333106093338,173.94618589771218
"(3, 3)","(1, 2)",3,2.23606797749979,76.0,0.9342327751034447,0.08189707507593547,1.6698406149354221,1.6178080594219808,0.5664950864538365,0.6441713199996355,0.7839718015755157,0.2956657603079738,2.3316481349391744,4.126489440537666,0.07700238396137582,0.8045417722271466,0.2698349257763807,1.4447470550934898
"(1, 4)","(5, 4)",1,4.0,51.0,48.48827354720605,5.653593388375378,58.499401066708145,39.774057114338255,38.738188564906984,37.112260226882135,36.58236557920779,72.70228563120149,47.59123909881049,40.78388996505062,8.121511668647045,51.76262982752973,79.7656735622332,52.03889505087984
"(3, 1)","(1, 3)",1,2.8284271247461903,50.0,3.7347643665519223,0.4271539462355955,9.45984240331053,5.298336465157807,4.224180092510359,2.596777765707558,1.3410417919582773,1.9330276386434926,5.365907189560359,13.719694048882051,0.45501745003931027,1.815786550451015,1.5984182236175648,3.7112870406227088
