,userid,geometry_x,geometry_y
56,75C5C1CF12FE07659E2997154435ECF1,POINT (-1.86297 52.5037),POINT (-1.85438 52.48528)
57,AAF818F7501A48DBC4171AAFE42A9445,POINT (-1.95701 52.46722),POINT (-1.93538 52.46466)
58,2F676D6495DE52C963CBDF8E92A92FE8,POINT (-1.91094 52.41363),POINT (-1.92947 52.41613)
59,B65AA18BAF738525069898FA40D85C71,POINT (-1.98886 52.39962),POINT (-1.98369 52.39613)
60,7B0B89B95B5962B1690BAFF5BBF0ED3B,POINT (-1.78324 52.47273),POINT (-1.76271 52.47375)
61,C04AF5C69B19C9CD206FC7956476FB3B,POINT (-1.99647 52.45564),POINT (-1.9655 52.43582)
62,1AF3C14DB6F06E92121D65A53417AF77,POINT (-1.93425 52.40936),POINT (-1.94305 52.45218)
63,8557D988E4022529C28764EC397A8D19,POINT (-2.00986 52.39506),POINT (-1.96853 52.4011)
64,C808B6F247D746292F3EC516108AC3FB,POINT (-1.87476 52.43875),POINT (-1.94168 52.42122)
65,3C6573DCF346421908E94EF73BF5FBAD,POINT (-1.95064 52.47351),POINT (-1.93759 52.46553)
66,3AD9D1982CD3CAF1B525D88F14A560B0,POINT (-2.02658 52.40287),POINT (-1.90824 52.4765)
67,7EB8A1E20F47BFB0FF36C69A435F9E81,POINT (-1.79455 52.46332),POINT (-1.78493 52.45566)
68,94F8264DE38A2E537CF8F5B84BE1876E,POINT (-1.83084 52.4442),POINT (-1.8374 52.44166)
69,80591645FEC8E4CE024741ADDDFD3FD2,POINT (-1.89018 52.50485),POINT (-1.89016 52.50483)
70,8B121C472D2C42BD0658367E3D0C4EB4,POINT (-1.80074 52.5676),POINT (-1.79311 52.5494)
71,D183C8137381F3AE0AE44422C4894B59,POINT (-1.9 52.41693),POINT (-1.90058 52.41932)
72,7FD02B1095F03B9CFB9287D6469813CF,POINT (-1.81686 52.56571),POINT (-1.84145 52.54867)
73,364C4E0B485A9640D57FDE9D947D3303,POINT (-1.84863 52.41212),POINT (-1.87557 52.54117)
74,FBD18B97BED57D792D5C948692C20945,POINT (-1.90601 52.45416),POINT (-1.91351 52.44744)
75,A02E3B86C089A765AA06104F39F747A7,POINT (-1.82033 52.51996),POINT (-1.89742 52.48363)
76,9C6AD9FD2D0469AAB78F8553BA739DFC,POINT (-1.81424 52.5911),POINT (-1.80807 52.58993)
77,8E0AE166E06B812F1F6FA90EE3692B48,POINT (-1.82091 52.56213),POINT (-1.82672 52.47652)
78,6139757C1FC837225A992E1BE1E28789,POINT (-1.8302 52.47096),POINT (-1.83995 52.46456)
79,EBD594F1E82EEE683182F99A18AB4DDD,POINT (-1.8042 52.49221),POINT (-1.88219 52.48287)
80,0452C8C692890791D3231B25A125A142,POINT (-1.81691 52.57559),POINT (-1.84181 52.54856)
81,45F493D9ECD2BABC3E358B482C3FEFB0,POINT (-1.85055 52.53324),POINT (-1.89496 52.52647)
82,0A67E0D7C9511AD200C0A8127EE6E5C0,POINT (-1.84032 52.53501),POINT (-1.81982 52.56911)
83,9443EA38442EABA8261F2FB4D27F9F16,POINT (-1.95209 52.50661),POINT (-1.93157 52.48908)
84,1E3001575B5DEB923AA3F785ABCB7036,POINT (-1.78172 52.47052),POINT (-1.85844 52.41709)
85,F3FF18C918ECFFFD89D5DB2C5E434A28,POINT (-1.7614 52.49962),POINT (-1.78023 52.47488)
86,895D8051425A8CAA01ABA508591D9A01,POINT (-1.9945 52.41238),POINT (-1.81251 52.48917)
87,704D2E1A8CA94A0CDB6B9EE9CEA09D74,POINT (-1.78026 52.45332),POINT (-1.90176 52.474)
88,967671B1E17341EDD0264E6E7D9C392D,POINT (-1.83672 52.4426),POINT (-1.85984 52.4526)
89,A075C0B340EF2A8A291E59D7299092CB,POINT (-1.82475 52.56614),POINT (-1.89916 52.48046)
90,F2917218BBE7348CC263030363E6C37B,POINT (-1.89072 52.48535),POINT (-1.88973 52.48723)
91,5556FA0542FA0CE0C3DB01A5E280F876,POINT (-1.7892 52.47176),POINT (-1.87853 52.46957)
92,428EB96A38848933988CDD1FF899DE19,POINT (-1.89478 52.4889),POINT (-1.91076 52.53026)
93,3EF37C6523D9106A286C9B48DA5DC078,POINT (-1.96883 52.42465),POINT (-1.96446 52.41228)
94,B73BEC237899C4A0495E5D472A2994C9,POINT (-1.90614 52.52432),POINT (-1.89983 52.50365)
95,2362D5BD90505312A0737FA541B42A06,POINT (-1.98547 52.41266),POINT (-1.99605 52.44543)
96,5E417D998349D65C164191D47DA728DB,POINT (-1.96104 52.44548),POINT (-1.94729 52.43562)
97,FE4BD5F54FA2D64846009021E42EF799,POINT (-1.96701 52.43231),POINT (-1.88614 52.46392)
98,81CF52DE7EB40ABD9F8B2A17151DC4D2,POINT (-1.93322 52.4237),POINT (-1.93739 52.41875)
99,C0672A8A4DC2A54D5C72EDA461975428,POINT (-1.80082 52.48587),POINT (-1.78917 52.48409)
100,685A0BDDC7AE9ED221B0AF2AA2150711,POINT (-1.96927 52.45755),POINT (-1.96924 52.45745)
101,559F1CA7C2446920FE950AFA2B0584C9,POINT (-1.79846 52.546),POINT (-1.83638 52.58961)
102,C4D3DFB6DEC890E5A8ECB70571C0A37C,POINT (-1.96592 52.42069),POINT (-1.90214 52.4617)
103,5599E4B1AB1DF1778CEF252A311CBEDA,POINT (-1.94547 52.45325),POINT (-1.91376 52.44412)
104,DB1C60B41DA0838E2653DFA14FA18F8A,POINT (-1.95938 52.39809),POINT (-1.96831 52.4011)
105,E7BA79CA38B72B700C7CCDE4F40EEA83,POINT (-1.84955 52.48145),POINT (-1.85172 52.48707)
106,39A3705472D7256385300F56A57546BF,POINT (-1.78309 52.52366),POINT (-1.78414 52.52471)
107,8F9CD6102A4B8C0515D8F2B6233A27D6,POINT (-1.89086 52.48219),POINT (-1.91987 52.48548)
108,1C4DB5AD3787D8F7EEF980D7057CABB8,POINT (-1.80273 52.57436),POINT (-1.8257 52.5879)
109,190EF42AC0901A3C5FD6AD24FF584830,POINT (-1.91457 52.46669),POINT (-1.92688 52.44785)
110,6EB3208B385499184481AD92B0B52FD4,POINT (-1.89551 52.42298),POINT (-1.89607 52.41945)
111,80DC022B8BE9BE6A2298C9545E2D888A,POINT (-1.95076 52.44727),POINT (-1.96595 52.47133)
112,7C0E142C0510EE46E5A735E71CC7241A,POINT (-1.98056 52.38821),POINT (-1.96329 52.40525)
113,4F46098B30EE7045CE856088EF1007B1,POINT (-1.76854 52.5285),POINT (-1.82773 52.53473)
114,34D2676FA0DD54C7A21961CE7D44933D,POINT (-1.81113 52.5873),POINT (-1.82163 52.56942)
115,DEDE769D6C5F681123C97D8C1AB11867,POINT (-1.85335 52.53427),POINT (-1.8647 52.53616)
116,D5E4669F60F6827DF00D5275BA293060,POINT (-1.81596 52.46291),POINT (-1.77549 52.48307)
117,924424DE53B7EA524C8AA8D56FF66163,POINT (-1.84517 52.48971),POINT (-1.8412 52.49124)
118,1EBE497E928AD69E99D70AEA857908B2,POINT (-1.87725 52.54087),POINT (-1.86469 52.54663)
119,144C993A7FCBE0E92036D58C0241CF57,POINT (-1.98315 52.46527),POINT (-1.9806 52.45736)
120,224374AC95AC8B53ECFB455141092D4F,POINT (-1.94926 52.4062),POINT (-2.00037 52.39636)
121,5ABDFAA8D988D1CF79AFADBE150C8D06,POINT (-1.77594 52.46895),POINT (-1.89 52.48732)
122,7055B0600FB80E42F4318CB0324BEE8F,POINT (-1.8998 52.47352),POINT (-1.89113 52.47653)
123,E6106F45E519E9E677AB47DDAD57CDA5,POINT (-1.8455 52.47149),POINT (-1.92899 52.49016)
124,43747CA1C7D1BD91ABEAA8069CAFCD54,POINT (-1.83678 52.43517),POINT (-1.83602 52.43586)
125,F1AC43D79B9CE26957767FBAFFED5674,POINT (-1.87273 52.45875),POINT (-1.88044 52.44523)
126,1397F0E50BDA529371F6066F9F8AF4EE,POINT (-1.9516 52.39758),POINT (-1.89691 52.47748)
127,B896887933FA2D5C9B2E93409BE2DE99,POINT (-1.85244 52.54498),POINT (-1.88607 52.48739)
128,89D2CDF2D9BCFE068F8E98770CFE2D99,POINT (-1.78036 52.45839),POINT (-1.81344 52.46265)
129,A1629EF263F54425D66BD57647B3A991,POINT (-1.79971 52.50252),POINT (-1.94212 52.49488)
130,D31C5FDAB7D0E9BE6234D75F994D7036,POINT (-1.92196 52.54586),POINT (-1.88607 52.48906)
131,14EDD61A7B53CD01AD1164DC8FBDB56D,POINT (-1.91261 52.40784),POINT (-1.93755 52.44067)
132,F2C6796CBE9A43C4CC76FCF69D32B166,POINT (-1.86645 52.46044),POINT (-1.86643 52.46045)
133,25F4730CC4B12EDE6EC46280911199CB,POINT (-1.95201 52.44435),POINT (-1.88958 52.48676)
134,EA82F726E441E02E268954A94C521092,POINT (-1.82314 52.55608),POINT (-1.83958 52.60137)
135,5FF9A7B90577151BDA1D5125C391AC74,POINT (-1.92678 52.49255),POINT (-1.94269 52.47508)
136,3DC3C63E537630927E251E71E0F33BB2,POINT (-1.83217 52.59533),POINT (-1.84908 52.60287)
137,C88C93877FBA36FFBD36492B86DC6C98,POINT (-1.81167 52.59421),POINT (-1.93164 52.50241)
138,BB72942A79205CA0A8DD292EC0457FCD,POINT (-1.87559 52.51481),POINT (-1.83413 52.45866)
139,13B6BF81068B3E97B1CEDDDB5179E645,POINT (-1.81339 52.59192),POINT (-1.88003 52.53822)
140,D4B6E318CC634F39B1EBE625587FCFEC,POINT (-1.84809 52.47228),POINT (-1.76984 52.46509)
141,BE14EF3159F1DC0666A8EB5E71670C5D,POINT (-1.78733 52.48284),POINT (-1.77026 52.48324)
142,52A785E9D9DC75CAADCB96C6A9BA42EF,POINT (-1.81299 52.49621),POINT (-1.84339 52.49262)
143,A6AB9116223FC29B2825BF383C66B7CB,POINT (-1.80891 52.49524),POINT (-1.85548 52.50495)
144,4B5F5199023321C074564F892BC7BF92,POINT (-1.97502 52.44592),POINT (-1.92863 52.48769)
145,D9C7161C439B8C722640526759BE4CEE,POINT (-1.80321 52.52404),POINT (-1.78053 52.51837)
146,F31700CF49B1BDF346B5829E5CD012F2,POINT (-1.80293 52.57485),POINT (-1.87254 52.54302)
147,50C6D3C48AFAC32D57018EF19024F914,POINT (-1.81365 52.47112),POINT (-1.79022 52.45655)
148,906A583637C9C72BAD110A72752C7F5D,POINT (-1.88902 52.46762),POINT (-1.87606 52.45556)
149,41A290F3142D97C8A395F8E4C348B74D,POINT (-1.81018 52.44914),POINT (-1.91481 52.43307)
150,EA418E2B31E96C455964B5A446459C91,POINT (-1.99115 52.44412),POINT (-1.96452 52.42404)
